,Título,Nome da Rua,Número,Bairro,Cidade,Preço,Taxa Cond,Total Mensal,Área,Quartos,Banheiros,Garagens
0,Residencial bellas,Rua João Francisco dos Santos  Pioneiros,,,Balneário Camboriú,2490.0,,,137.0,3,4,2
1,Apartamento mobiliado,Rua Egidio Alfredo Crispim  Pioneiros,,,Balneário Camboriú,1690.0,520.0,2210.0,115.0,3,2,4
2,Apartamento em,Avenida Atlântica,4520,Centro,Balneário Camboriú,3300.0,1000.0,4300.0,140.0,3,4,1
3,Apartamento,Avenida Atlântica - Até 549/550,500,Barra Norte,Balneário Camboriú,18900.0,1980.0,20880.0,301.0,5,7,4
4,Residencial majestic,Rua 4450,64,Centro,Balneário Camboriú,6450.0,,,257.0,3,4,4
5,Apartamento,Rua 902  Centro,,,Balneário Camboriú,1550.0,,,121.0,3,3,2
6,Apartamento 3,Avenida Brasil,30,Centro,Balneário Camboriú,2990.0,2129.0,5119.0,122.0,3,5,3
7,Porto di,Endereço não disponível  Centro,,,Balneário Camboriú,550.0,,,0.0,0,0,0
8,Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,2000.0,743.0,2743.0,250.0,3,2,3
9,Sala no,Endereço não disponível  Pioneiros,,,Balneário Camboriú,1228.0,,,0.0,0,0,0
10,Apartamento,Rua 1931  Centro,,,Balneário Camboriú,1220.0,620.0,1840.0,90.0,2,2,1
11,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4150.0,1100.0,5250.0,151.0,4,5,3
12,Sala comercial,5ª Avenida,3450,Vila Real,Balneário Camboriú,610.0,233.0,843.0,0.0,0,0,0
13,Apartamento,Rua 3100,233,Centro,Balneário Camboriú,2300.0,,,0.0,4,3,3
14,Apartamento para,Rua Carlos Drummond de Andrade,199,Praia dos Amores,Balneário Camboriú,1950.0,,,100.0,3,2,2
15,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,5800.0,,,180.0,3,4,2
16,Apartamento,Avenida 3ª - Até 309 - Lado ÍMpar,1,Centro,Balneário Camboriú,2515.0,,,136.0,4,4,3
17,Casa a,Avenida das Arapongas,455,Ariribá,Balneário Camboriú,2300.0,660.0,2960.0,258.0,3,3,2
18,Casa em,Endereço não disponível  São Judas Tadeu,,,Balneário Camboriú,1620.0,500.0,2120.0,0.0,3,1,2
19,Oportunidade: apartamento,Rua 2028,111,Centro,Balneário Camboriú,950.0,,,94.0,2,2,1
20,"03 suíte,",Endereço não disponível  Barra Norte,,,Balneário Camboriú,2450.0,,,228.0,3,4,3
21,Apartamento,Avenida Brasil,2801,Centro,Balneário Camboriú,799.0,,,50.0,1,1,1
22,Apartamento,4450,100,Barra Sul,Balneário Camboriú,4000.0,,,218.0,4,6,4
23,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,6690.0,2000.0,8690.0,399.0,3,2,4
24,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4000.0,1069.0,5069.0,154.0,3,4,2
25,Apartamento para,Rua 1400,370,Centro,Balneário Camboriú,1800.0,,,150.0,3,4,2
26,Apartamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,3700.0,,,143.0,4,6,3
27,2 dormitórios,Endereço não disponível  Centro,,,Balneário Camboriú,980.0,494.0,1474.0,62.0,2,2,1
28,Casa,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,13000.0,10.0,13010.0,550.0,4,5,5
29,Apartamento á,Rua 901,300,Centro,Balneário Camboriú,1999.0,,,80.0,2,2,1
30,"Riomaggiore, barra",Rua: Bruno Silva,51,Barra Norte,Balneário Camboriú,3551.0,,,0.0,0,0,0
31,Casa comercial,Rua 3050,45,Centro,Balneário Camboriú,3500.0,,,0.0,0,0,0
